name,vegetable_name,sun_cost,attack,defense,production,control,special_ability,role,hp,special_tag,category
豌豆射手,豌豆,100,20,3,0,0,连续发射豌豆,远程输出,100,SINGLE,攻击
向日葵,油菜,50,0,2,10,0,周期生产阳光,资源生产,80,PRODUCE,生产
坚果墙,大白菜,50,0,8,0,0,高耐久阻挡僵尸,前排防御,400,WALL,防御
土豆雷,土豆,25,180,1,0,2,延迟触发单格爆炸,爆发伏击,40,BOMB,攻击
寒冰射手,黄瓜,175,20,3,0,8,攻击附带持续减速,减速控制,100,SLOW,攻击
双发射手,豌豆,200,40,3,0,0,单线连续双发,持续输出,100,SINGLE,攻击
樱桃炸弹,樱桃,150,180,2,0,3,一次性范围爆炸,范围爆发,100,AOE,攻击
大嘴花,生菜,150,40,4,0,2,近距离吞噬强敌,近战处决,100,SINGLE,攻击
食人花,菠菜,150,40,4,0,1,近距离咬合反击,近战输出,100,SINGLE,攻击
三线射手,豌豆,325,20,3,0,0,同时攻击三条线路,多线输出,100,MULTI,攻击
高坚果,大白菜,125,0,10,0,0,超高耐久阻挡僵尸,重型防御,800,WALL,防御
小喷菇,大蒜,0,15,1,0,0,零阳光短程攻击,低费输出,40,SINGLE,攻击
阳光菇,油菜,25,0,2,8,0,逐步成长并生产阳光,低费生产,60,PRODUCE,生产
大喷菇,大蒜,75,20,2,0,1,穿透近距离目标,穿透输出,60,SPLASH,攻击
灯笼草,芹菜,25,0,1,0,6,照亮迷雾提供视野,视野辅助,50,SIGHT,辅助
